time,probe_a,probe_b
4.4000244e-01,-9.7599998e-03,-4.7457999e-01
4.4400024e-01, 5.3314000e-01,-2.4156000e-01
4.4799805e-01, 6.5513998e-01, 1.4396000e-01
4.5200348e-01, 6.5757996e-01, 3.8064000e-01
4.5600128e-01, 8.4179997e-01, 6.7953998e-01
4.5999908e-01, 7.2833997e-01, 7.4541998e-01
4.6399689e-01, 4.7579998e-01, 8.1983995e-01
4.6800232e-01, 4.5627999e-01, 7.1370000e-01
4.7200012e-01, 3.1476000e-01, 5.0264001e-01
4.7599792e-01, 2.0495999e-01, 3.4891999e-01
4.8000336e-01, 4.6360001e-02, 4.2212000e-01
4.8400116e-01,-8.4179997e-02, 3.1841999e-01
4.8799896e-01,-2.6108000e-01, 2.4400000e-02
4.9199677e-01,-2.8669998e-01,-8.2959995e-02
4.9600220e-01,-4.3309999e-01,-1.5006000e-01
5.0000000e-01,-7.4298000e-01,-3.7819999e-01
5.0399780e-01,-8.2349998e-01,-5.5875999e-01
5.0800323e-01,-7.3443997e-01,-5.8437997e-01
5.1200104e-01,-5.6364000e-01,-7.2345996e-01
5.1599884e-01,-6.6123998e-01,-6.7221999e-01
5.1999664e-01,-4.2699999e-01,-7.0638001e-01
5.2400208e-01,-1.3298000e-01,-7.3443997e-01
5.2799988e-01, 4.4163999e-01,-4.8799998e-01
5.3199768e-01, 6.9783998e-01, 1.8665999e-01
5.3600311e-01, 7.2955996e-01, 3.8429999e-01
5.4000092e-01, 8.3326000e-01, 5.8560002e-01
5.4399872e-01, 7.2833997e-01, 8.1739998e-01
5.4799652e-01, 4.5506001e-01, 6.4782000e-01
5.5200195e-01, 4.9043998e-01, 6.7343998e-01
5.5599976e-01, 4.6359998e-01, 6.3562000e-01
5.5999756e-01, 1.4151999e-01, 6.1122000e-01
5.6400299e-01, 1.0004000e-01, 4.1235998e-01
5.6800079e-01,-1.5981999e-01, 1.9275999e-01
5.7199860e-01,-3.0987999e-01, 1.7202000e-01
5.7599640e-01,-3.1841999e-01,-4.6360001e-02
5.8000183e-01,-4.6237999e-01,-2.6352000e-01
5.8399963e-01,-5.0874001e-01,-3.6355999e-01
5.8799744e-01,-6.5147996e-01,-5.2459997e-01
5.9200287e-01,-7.0150000e-01,-5.6974000e-01
5.9600067e-01,-6.3440001e-01,-6.0877997e-01
5.9999847e-01,-7.2468001e-01,-6.5757996e-01
6.0399628e-01,-5.2582002e-01,-7.5761998e-01
6.0800171e-01,-1.1346000e-01,-6.8930000e-01
6.1199951e-01, 5.0019997e-01,-4.6482000e-01
6.1599731e-01, 5.9413999e-01,-5.1239997e-02
6.2000275e-01, 7.8323996e-01, 4.2333999e-01
6.2400055e-01, 7.7958000e-01, 4.8921999e-01
6.2799835e-01, 7.9056001e-01, 6.9173998e-01
6.3200378e-01, 6.2585998e-01, 8.0641997e-01
6.3600159e-01, 5.8437997e-01, 7.1491998e-01
6.3999939e-01, 4.6359998e-01, 5.7949996e-01
6.4399719e-01, 4.2089999e-01, 4.6237999e-01
6.4800262e-01, 2.2326000e-01, 4.1113999e-01
6.5200043e-01,-5.8559999e-02, 2.8547999e-01
6.5599823e-01,-2.4399999e-01, 1.7933999e-01
6.6000366e-01,-2.2569999e-01,-1.3420000e-02
6.6400146e-01,-3.0256000e-01,-2.0495999e-01
6.6799927e-01,-5.9780002e-01,-3.2696000e-01
6.7199707e-01,-7.9177999e-01,-5.3435999e-01
6.7600250e-01,-8.1251997e-01,-5.9657997e-01
6.8000031e-01,-6.8685997e-01,-5.6974000e-01
6.8399811e-01,-6.3683999e-01,-6.6001999e-01
6.8800354e-01,-4.8433998e-01,-7.0393997e-01
6.9200134e-01,-2.1106000e-01,-7.3078001e-01
6.9599915e-01, 3.3061999e-01,-5.1362002e-01
6.9999695e-01, 5.1972002e-01,-8.2959995e-02
7.0400238e-01, 5.3435999e-01, 2.5498000e-01
7.0800018e-01, 9.5037997e-01, 5.4534000e-01
7.1199799e-01, 9.8820001e-01, 7.0150000e-01
7.1600342e-01, 6.9173998e-01, 7.8689998e-01
7.2000122e-01, 5.0019997e-01, 6.4415997e-01
7.2399902e-01, 2.1594000e-01, 5.9657997e-01
7.2799683e-01, 4.0259999e-01, 4.2943999e-01
7.3200226e-01, 1.8910000e-01, 3.9405999e-01
7.3600006e-01, 4.3919999e-02, 3.4281999e-01
7.3999786e-01,-1.6103999e-01, 6.2220000e-02
7.4400330e-01,-1.2322000e-01, 3.6600001e-02
7.4800110e-01,-4.5383999e-01,-7.3200002e-02
7.5199890e-01,-7.8446001e-01,-3.3550000e-01
7.5599670e-01,-7.4053997e-01,-5.0507998e-01
7.6000214e-01,-6.4903998e-01,-6.1122000e-01
7.6399994e-01,-7.2711998e-01,-5.9780002e-01
7.6799774e-01,-6.5880001e-01,-6.8808001e-01
7.7200317e-01,-5.8682001e-01,-7.8446001e-01
7.7600098e-01,-2.9890001e-01,-6.8930000e-01
7.7999878e-01, 2.7816001e-01,-5.3679997e-01
7.8399658e-01, 6.7588001e-01,-3.1719998e-02
7.8800201e-01, 6.8808001e-01, 3.3183998e-01
7.9199982e-01, 7.1003997e-01, 4.5627999e-01
7.9599762e-01, 6.7221999e-01, 7.2101998e-01
8.0000305e-01, 5.8560002e-01, 7.5273997e-01
