time,probe_a,probe_b
2.2000000e-01, 1.2194633e-01, 1.5590763e-01
2.2200000e-01, 1.2841320e-01, 1.4762115e-01
2.2400000e-01, 1.3703632e-01, 1.4516544e-01
2.2600000e-01, 1.4596653e-01, 1.4731407e-01
2.2800000e-01, 1.5366554e-01, 1.4547253e-01
2.3000000e-01, 1.6351986e-01, 1.5191746e-01
2.3200000e-01, 1.7029476e-01, 1.5682793e-01
2.3400000e-01, 1.7491341e-01, 1.6173840e-01
2.3600000e-01, 1.8168831e-01, 1.6849136e-01
2.3800000e-01, 1.8476772e-01, 1.7616367e-01
2.4000000e-01, 1.8569183e-01, 1.7923260e-01
2.4200000e-01, 1.9369793e-01, 1.9120216e-01
2.4400000e-01, 1.8877125e-01, 1.8751907e-01
2.4600000e-01, 1.9708633e-01, 1.9948769e-01
2.4800000e-01, 1.9462204e-01, 1.9396400e-01
2.5000000e-01, 2.0355320e-01, 2.0286369e-01
2.5200000e-01, 2.0663261e-01, 2.0654678e-01
2.5400000e-01, 2.0108986e-01, 2.0593262e-01
2.5600000e-01, 2.0201397e-01, 2.0623970e-01
2.5800000e-01, 2.0262909e-01, 2.0777416e-01
2.6000000e-01, 2.0386124e-01, 2.1299171e-01
2.6200000e-01, 2.0386124e-01, 2.1544647e-01
2.6400000e-01, 2.0355320e-01, 2.1912956e-01
2.6600000e-01, 2.0570850e-01, 2.2311974e-01
2.6800000e-01, 2.0570850e-01, 2.2342587e-01
2.7000000e-01, 1.9862652e-01, 2.1636772e-01
2.7200000e-01, 2.0478535e-01, 2.1943665e-01
2.7400000e-01, 2.0724869e-01, 2.1882248e-01
2.7600000e-01, 2.1125221e-01, 2.2189140e-01
2.7800000e-01, 2.1125221e-01, 2.1636772e-01
2.8000000e-01, 2.2172165e-01, 2.2588158e-01
2.8200000e-01, 2.3434734e-01, 2.3171329e-01
2.8400000e-01, 2.3373127e-01, 2.3386192e-01
2.8600000e-01, 2.4666500e-01, 2.4153423e-01
2.8800000e-01, 2.5159264e-01, 2.4122715e-01
2.9000000e-01, 2.7622890e-01, 2.6117611e-01
2.9200000e-01, 2.7222538e-01, 2.5565147e-01
2.9400000e-01, 3.0363560e-01, 2.8695583e-01
2.9600000e-01, 2.9470539e-01, 2.7805519e-01
2.9800000e-01, 3.1995678e-01, 3.0291557e-01
3.0000000e-01, 3.2642460e-01, 3.1058788e-01
3.0200000e-01, 3.3781815e-01, 3.2132912e-01
3.0400000e-01, 3.5752678e-01, 3.4158421e-01
3.0600000e-01, 3.7076855e-01, 3.4864330e-01
3.0800000e-01, 3.8555050e-01, 3.6429596e-01
3.1000000e-01, 4.0371895e-01, 3.7227535e-01
3.1200000e-01, 4.2311954e-01, 3.8731384e-01
3.1400000e-01, 4.5360756e-01, 4.1033077e-01
3.1600000e-01, 4.6992779e-01, 4.1984558e-01
3.1800000e-01, 4.9117661e-01, 4.4470501e-01
3.2000000e-01, 5.0226212e-01, 4.5943642e-01
3.2200000e-01, 5.1242542e-01, 4.8429585e-01
3.2400000e-01, 5.1242542e-01, 4.9779987e-01
3.2600000e-01, 4.9887466e-01, 5.0271034e-01
3.2800000e-01, 4.8470974e-01, 5.0424480e-01
3.3000000e-01, 4.7793484e-01, 5.0455093e-01
3.3200000e-01, 4.6500111e-01, 4.9135494e-01
3.3400000e-01, 4.6500111e-01, 4.8491001e-01
3.3600000e-01, 4.6992779e-01, 4.8030663e-01
3.3800000e-01, 4.7393131e-01, 4.6127701e-01
3.4000000e-01, 4.9209976e-01, 4.6311855e-01
3.4200000e-01, 5.2012348e-01, 4.6281242e-01
3.4400000e-01, 5.6415939e-01, 4.8460293e-01
3.4600000e-01, 5.9310722e-01, 4.9872017e-01
3.4800000e-01, 6.3806820e-01, 5.3923130e-01
3.5000000e-01, 6.7286587e-01, 5.6992149e-01
3.5200000e-01, 7.1074390e-01, 6.1074066e-01
3.5400000e-01, 7.4092197e-01, 6.4020348e-01
3.5600000e-01, 7.8249550e-01, 6.8102169e-01
3.5800000e-01, 8.0990219e-01, 7.1447372e-01
3.6000000e-01, 8.4531689e-01, 7.5314426e-01
3.6200000e-01, 8.8011456e-01, 7.9365540e-01
3.6400000e-01, 9.0659904e-01, 8.2342529e-01
3.6600000e-01, 9.3616104e-01, 8.5718536e-01
